timestamp_str,event_type,path,file_type,size,permissions,owner,group,details
2026-03-12 17:13:46.168488,M (Modified),secrets,directory,0,0777,0,0,File content last modified
2026-03-12 17:13:46.168488,C (Changed/Created),secrets\password_list.txt,file,75,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.168488,B (Born),secrets\password_list.txt,file,75,0666,0,0,File creation time
2026-03-12 17:13:46.170169,M (Modified),secrets\password_list.txt,file,75,0666,0,0,File content last modified
2026-03-12 17:13:46.181078,M (Modified),tmp,directory,0,0777,0,0,File content last modified
2026-03-12 17:13:46.181078,C (Changed/Created),tmp\.hidden_payload.sh,file,94,0666,0,0,Metadata changed (Linux) or file created (Windows)
2026-03-12 17:13:46.181078,B (Born),tmp\.hidden_payload.sh,file,94,0666,0,0,File creation time
2026-03-12 17:13:46.182078,M (Modified),tmp\.hidden_payload.sh,file,94,0666,0,0,File content last modified
2026-03-12 17:15:40.860736,M (Modified),config\app.conf,file,108,0666,0,0,File content last modified
2026-03-13 11:32:44.037965,A (Accessed),bin,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.038985,A (Accessed),bin\backup_cron.bat,file,144,0777,0,0,File last accessed/read
2026-03-13 11:32:44.040967,A (Accessed),bin\healthcheck.bat,file,19,0777,0,0,File last accessed/read
2026-03-13 11:32:44.041965,A (Accessed),config,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.041965,A (Accessed),config\.env,file,162,0666,0,0,File last accessed/read
2026-03-13 11:32:44.042968,A (Accessed),config\app.conf,file,108,0666,0,0,File last accessed/read
2026-03-13 11:32:44.043969,A (Accessed),config\database.conf,file,67,0666,0,0,File last accessed/read
2026-03-13 11:32:44.044967,A (Accessed),config\logging.conf,file,15,0666,0,0,File last accessed/read
2026-03-13 11:32:44.045970,A (Accessed),logs,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.045970,A (Accessed),logs\app.log,file,107,0666,0,0,File last accessed/read
2026-03-13 11:32:44.046967,A (Accessed),public,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.046967,A (Accessed),public\api_token.json,file,101,0666,0,0,File last accessed/read
2026-03-13 11:32:44.048977,A (Accessed),secrets,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.048977,A (Accessed),public\index.html,file,33,0666,0,0,File last accessed/read
2026-03-13 11:32:44.049568,A (Accessed),secrets\cert.pem,file,93,0666,0,0,File last accessed/read
2026-03-13 11:32:44.049568,A (Accessed),secrets\password_list.txt,file,75,0666,0,0,File last accessed/read
2026-03-13 11:32:44.050579,A (Accessed),secrets\server.key,file,166,0666,0,0,File last accessed/read
2026-03-13 11:32:44.051578,A (Accessed),secrets\shadow_backup,file,48,0666,0,0,File last accessed/read
2026-03-13 11:32:44.052577,A (Accessed),tmp,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.052577,A (Accessed),tmp\.hidden_payload.sh,file,94,0666,0,0,File last accessed/read
2026-03-13 11:32:44.053597,A (Accessed),users,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.053597,A (Accessed),users\alice,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.053597,A (Accessed),users\alice\documents,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.054592,A (Accessed),users\bob,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.054592,A (Accessed),users\alice\documents\report.txt,file,28,0666,0,0,File last accessed/read
2026-03-13 11:32:44.055578,A (Accessed),users\bob\.ssh,directory,0,0777,0,0,File last accessed/read
2026-03-13 11:32:44.055578,A (Accessed),users\bob\.ssh\id_rsa,file,141,0666,0,0,File last accessed/read
